CLASS,REGION-CENTROID-COL,REGION-CENTROID-ROW,SHORT-LINE-DENSITY-5,SHORT-LINE-DENSITY-2,VEDGE-MEAN,VEDGE-SD,HEDGE-MEAN,HEDGE-SD,INTENSITY-MEAN,RAWRED-MEAN,RAWBLUE-MEAN,RAWGREEN-MEAN,EXRED-MEAN,EXBLUE-MEAN,EXGREEN-MEAN,VALUE-MEAN,SATURATION-MEAN,HUE-MEAN
BRICKFACE,0.553784860557769,0.476987447698745,0,0,0.0108932509803922,0.00010988377937453,0.0149068332356004,0.00022441363854992,0.0431190292213487,0.053571429354128,0.0508100132488217,0.0249415427921577,0.956790122233653,0.159547740741711,0.432203372540219,0.0515463908575376,0.5456349,0.26114959283108
BRICKFACE,0.745019920318725,0.510460251046025,0,0,0.0130718956862745,0.000465389904718424,0.0111801235291849,0.0000561033670790459,0.046475600587935,0.0608766277526248,0.0515463908575376,0.0272798114643862,0.985596708645786,0.146984923768024,0.423728804833381,0.0559646571725725,0.53858024,0.29765909770173
BRICKFACE,0.414342629482072,0.535564853556485,0,0,0.0108932478431373,0.000187448709974443,0.0186335373519542,0.000376694193558067,0.0426026341627462,0.0551948028799123,0.0478645067903939,0.0249415427921577,0.973251032194025,0.146984923768024,0.436440665927535,0.0500736356401058,0.5326279,0.29003687979844
BRICKFACE,0.131474103585657,0.527196652719665,0,0,0.0196078509803922,0.000290868720990219,0.0248447164692723,0.000341963640382097,0.0407952514576375,0.0568181807888135,0.042709868831297,0.0233826958415371,1,0.129396985205866,0.438559311667804,0.0515463908575376,0.57363313,0.331118994861432
BRICKFACE,0.151394422310757,0.418410041841004,0,0,0.0283224419607843,0.000652838586769481,0.0198757754114425,0.000309904386346331,0.0420862391041437,0.0511363632212958,0.0508100132488217,0.024162118966107,0.946502055128791,0.164572864591488,0.434322020187267,0.0522827691289929,0.56291884,0.251150428468501
BRICKFACE,0.0597609561752988,0.489539748953975,0,0,0.0196078431372549,0.000135738664326687,0.0149068332356004,0.00022441363854992,0.0387296663432894,0.0503246757278841,0.0441826200722929,0.0218238502938784,0.967078189338515,0.146984923768024,0.442796591707663,0.0471281285189387,0.56150794,0.286355382677183
BRICKFACE,0.099601593625498,0.234309623430962,1,0,0.0392156862745098,0.00155130171847502,0.0546583874125225,0.0022975673454761,0.139426805249475,0.142857137639147,0.171575852933904,0.102104435631974,0.868312751798506,0.309045213432111,0.271186414500144,0.171575852933904,0.4369392,0.168229825087503
BRICKFACE,0.051792828685259,0.414225941422594,0,0,0.0675381333333333,0.00934011190995266,0.0596273262343276,0.000737359423721292,0.124967729665925,0.137987019983872,0.142120768467446,0.0943102114010846,0.946502055128791,0.228643206961314,0.326271161797975,0.142120768467446,0.36884832,0.219770362240575
BRICKFACE,0.0398406374501992,0.405857740585774,0,0,0.0522875882352941,0.00139616976651162,0.0310558967046027,0.000686598587117692,0.123160339989476,0.138798700172088,0.139911626362948,0.0904130922708311,0.967078189338515,0.226130646732406,0.3093220263843,0.139911626362948,0.38875645,0.227732417148051
BRICKFACE,0.334661354581673,0.376569037656904,0,0,0.0522875843137255,0.00224938254411372,0.0285714250576755,0.000878952921138789,0.148463732717699,0.155032457345516,0.177466869827195,0.111457518738659,0.88888888563786,0.295226132173114,0.273305094562446,0.177466869827195,0.4047922,0.180202476300024
BRICKFACE,0.0677290836653386,0.560669456066946,0,0,0.0152505474509804,0.0000323186951959908,0.0136645951761121,0.000269830643399851,0.0273689659912925,0.0405844133881135,0.0265095727061151,0.015588464595839,0.983539097447036,0.111809045739186,0.48516947791134,0.0368188492870482,0.6005291,0.363241949984478
BRICKFACE,0.0876494023904383,0.184100418410042,0,0,0.0871459450980392,0.00641203452587137,0.0397515396427615,0.000566377163519314,0.163439203359851,0.158279214624357,0.206185558128236,0.123148862099802,0.794238672717573,0.369346726765107,0.245762711379632,0.206185558128236,0.43507022,0.140808723187348
BRICKFACE,0.776892430278884,0.493723849372385,0,0,0.0326797352941176,0.000756258398831127,0.0149068321175881,0.000128236309240258,0.0441518228242238,0.0576298704737835,0.0486008843991098,0.0265003883398164,0.979423865790276,0.143216080032701,0.436440665927535,0.0544918979787047,0.54012346,0.29618290870727
BRICKFACE,0.314741035856574,0.439330543933054,0,0,0.0588235294117647,0.00285051145172989,0.0347826097650553,0.000630495296499562,0.151303898568672,0.155032457345516,0.182621497182463,0.114575215445823,0.866255140599756,0.307788933317656,0.275423736489155,0.182621497182463,0.40736422,0.166554398930488
BRICKFACE,0.00398406374501992,0.138075313807531,0,0,0.0849673411764706,0.00416911450054485,0.0534161616511701,0.00110336599705178,0.130648075310552,0.126623380465719,0.167157575352301,0.0958690562472625,0.814814806927297,0.329145729182975,0.29237287190283,0.167157575352301,0.45768142,0.14404039199605
BRICKFACE,0.474103585657371,0.523012552301255,0,0,0.0239651435294118,0.000730403716323523,0.0223602492943945,0.000320590809167116,0.0436354242799512,0.0568181807888135,0.0478645067903939,0.0265003883398164,0.977366250887822,0.14195979765694,0.440677945967395,0.0530191454122302,0.52954143,0.297698146006151
BRICKFACE,0.577689243027888,0.472803347280335,0,0,0.0196078392156863,0.000290868563921169,0.00869564852822059,0.0000774760973079121,0.0420862391041437,0.0543831183085786,0.0486008843991098,0.0233826958415371,0.971193417291571,0.153266329993561,0.4279660886868,0.0508100132488217,0.56349206,0.279142595604733
BRICKFACE,0.0876494023904383,0.309623430962343,0,0,0.0566448823529412,0.00183570525050419,0.0397515552949344,0.000694613422266515,0.125225927195226,0.137987019983872,0.145066280227789,0.091971937117009,0.944444442078189,0.242462310833375,0.305084742530882,0.145066280227789,0.39975148,0.212029012723391
BRICKFACE,0.545816733067729,0.439330543933054,0,0,0.0239651411764706,0.000265013671988166,0.00993788882373361,0.000149609046682419,0.0451846136385628,0.0551948028799123,0.0544918979787047,0.0257209659167275,0.952674897984301,0.16834170832681,0.421610143838876,0.0552282808893352,0.5591711,0.248315377012862
BRICKFACE,0.908366533864542,0.472803347280335,0,0,0.0348583921568627,0.000129274782529175,0.0198757754114425,0.000245786282219259,0.0410534489869388,0.0519480507147074,0.0471281285189387,0.024162118966107,0.960905350186709,0.150753768633999,0.442796591707663,0.0500736356401058,0.5458554,0.276745859976265
BRICKFACE,0.0836653386454183,0.439330543933054,0,0,0.0152505392156863,0.00018744866459894,0.00745341382276933,0.0000961772571767225,0.039246063493294,0.0495129860429141,0.0463917522357014,0.0218238502938784,0.956790122233653,0.155778892483776,0.438559311667804,0.0486008843991098,0.57539684,0.265262822980396
BRICKFACE,0.47808764940239,0.205020920502092,0,0,0.0893246274509804,0.00406569570070597,0.0645962717642067,0.00207315419743016,0.186418797410342,0.180194798862055,0.233431500490195,0.14263445073626,0.777777768312757,0.396984923202697,0.216101705337906,0.233431500490195,0.4223002,0.139891393822277
